ds,yhat,yhat_lower,yhat_upper,subtopic,model,target
2025-04-27,0.14115298824087408,-0.27079455889931436,0.620441980930982,Generative AI,Prophet,sentiment_mean
2025-05-04,0.1984478331321399,-0.23156215811353653,0.7146528948423847,Generative AI,Prophet,sentiment_mean
2025-05-11,0.2324729870509047,-0.23376420302480463,0.6896765113283859,Generative AI,Prophet,sentiment_mean
2025-05-18,0.22001094089169318,-0.23305557044522635,0.6883887569299315,Generative AI,Prophet,sentiment_mean
2025-05-25,0.17479944724465016,-0.2915703013232531,0.6482835150604285,Generative AI,Prophet,sentiment_mean
2025-06-01,0.14843047184469435,-0.3418216926336902,0.5840962144450229,Generative AI,Prophet,sentiment_mean
2025-06-08,0.18297270177497502,-0.2452586550023534,0.6438723608618967,Generative AI,Prophet,sentiment_mean
2025-06-15,0.2632074668025731,-0.17219443084638786,0.7339499357051406,Generative AI,Prophet,sentiment_mean
2025-06-22,0.32555373011234157,-0.11085947059099553,0.7933148639977758,Generative AI,Prophet,sentiment_mean
2025-06-29,0.31972006174348533,-0.1210497703258088,0.8001708826281152,Generative AI,Prophet,sentiment_mean
2025-07-06,0.25791386398761695,-0.21738173880813585,0.706235755025041,Generative AI,Prophet,sentiment_mean
2025-07-13,0.19866003106243885,-0.26293748917257764,0.6867140462451837,Generative AI,Prophet,sentiment_mean
2025-07-20,0.18470797468815742,-0.31799570122534804,0.6462869535410279,Generative AI,Prophet,sentiment_mean
2025-07-27,0.2029757305007029,-0.2742290428410756,0.6424190357730096,Generative AI,Prophet,sentiment_mean
2025-08-03,0.2055032912383301,-0.2719206927254916,0.6423766469302987,Generative AI,Prophet,sentiment_mean
2025-08-10,0.16242992963275002,-0.28830579230160586,0.6564119211452599,Generative AI,Prophet,sentiment_mean
2025-08-17,0.09003716602913264,-0.3612721196664139,0.5653932196521877,Generative AI,Prophet,sentiment_mean
2025-08-24,0.03304940989913174,-0.4141859292537165,0.4777113509870731,Generative AI,Prophet,sentiment_mean
2025-08-31,0.02907030057177795,-0.44176786551855796,0.48261227408607094,Generative AI,Prophet,sentiment_mean
2025-09-07,0.08874604661471935,-0.3670160977694687,0.5508819127554522,Generative AI,Prophet,sentiment_mean
2025-09-14,0.1951326099362448,-0.2612643824825245,0.6642964251026207,Generative AI,Prophet,sentiment_mean
2025-09-21,0.308393510762191,-0.1736551277251315,0.7861924379475626,Generative AI,Prophet,sentiment_mean
2025-09-28,0.37572665538638894,-0.10921428257483434,0.8136192697301452,Generative AI,Prophet,sentiment_mean
2025-10-05,0.3579869063624456,-0.1311650590837491,0.8372539424139915,Generative AI,Prophet,sentiment_mean
2025-10-12,0.2642085882100307,-0.21172639239786317,0.7333513937935873,Generative AI,Prophet,sentiment_mean
2025-10-19,0.15778778222559964,-0.3323684820420884,0.6073498505000554,Generative AI,Prophet,sentiment_mean
2025-10-26,0.11214072860670528,-0.33586391185184483,0.580867543657793,Generative AI,Prophet,sentiment_mean
2025-11-02,0.14817749569390992,-0.35080225622377287,0.6028390692264002,Generative AI,Prophet,sentiment_mean
2025-11-09,0.2173743066001244,-0.2622924908261397,0.6606272210784729,Generative AI,Prophet,sentiment_mean
2025-11-16,0.2535085019076898,-0.22496821708766318,0.7166573999339448,Generative AI,Prophet,sentiment_mean
2025-11-23,0.2402466002708153,-0.22774327575946388,0.7113185776000789,Generative AI,Prophet,sentiment_mean
2025-11-30,0.21992712000647066,-0.22765664021579135,0.6831346830490431,Generative AI,Prophet,sentiment_mean
2025-12-07,0.23405852567198687,-0.24962984209625216,0.7143073307631342,Generative AI,Prophet,sentiment_mean
2025-12-14,0.26641034659914553,-0.20627752303043873,0.760155065439139,Generative AI,Prophet,sentiment_mean
2025-12-21,0.2586613442249915,-0.18626477628918695,0.7254757557331675,Generative AI,Prophet,sentiment_mean
2025-12-28,0.1831690818376791,-0.2963017711187842,0.6433235332103628,Generative AI,Prophet,sentiment_mean
2026-01-04,0.08704970750223187,-0.332901603497661,0.5353663797009007,Generative AI,Prophet,sentiment_mean
2026-01-11,0.05175534932111546,-0.4073037167011929,0.5179829423107152,Generative AI,Prophet,sentiment_mean
2026-01-18,0.10976052804777275,-0.3637995839745356,0.5446409645122137,Generative AI,Prophet,sentiment_mean
2026-01-25,0.21059100135760703,-0.25580704807654553,0.6679128001361647,Generative AI,Prophet,sentiment_mean
2026-02-01,0.27272128101338844,-0.1689369862092962,0.7267859309236404,Generative AI,Prophet,sentiment_mean
2026-02-08,0.26182948586881866,-0.19380577736270171,0.7051236565906696,Generative AI,Prophet,sentiment_mean
2026-02-15,0.2111581585499118,-0.24080658998174256,0.6806143059633509,Generative AI,Prophet,sentiment_mean
2026-02-22,0.17078093365091576,-0.2980092192952383,0.6360167063324232,Generative AI,Prophet,sentiment_mean
2026-03-01,0.151637461078057,-0.3270783093708825,0.634609739292476,Generative AI,Prophet,sentiment_mean
2026-03-08,0.1263685250912123,-0.338080857840297,0.5771270436933534,Generative AI,Prophet,sentiment_mean
2026-03-15,0.07527336292274481,-0.38396671425734413,0.5231913217236493,Generative AI,Prophet,sentiment_mean
2026-03-22,0.015624542414401477,-0.44916568601503515,0.4687734059033147,Generative AI,Prophet,sentiment_mean
2026-03-29,-0.017980994637716213,-0.4819529857660712,0.4649077734135856,Generative AI,Prophet,sentiment_mean
2026-04-05,-0.010915792444266714,-0.4652503518425448,0.45593405151523103,Generative AI,Prophet,sentiment_mean
2022-02-27,-0.06284464455820785,-0.7243857710934937,0.6266769159043326,AI Safety,Prophet,sentiment_mean
2022-03-06,-0.17736387048252014,-0.873115173905717,0.5063855506465572,AI Safety,Prophet,sentiment_mean
2022-03-13,-0.2446095363409143,-0.8946458615480019,0.46306202857549894,AI Safety,Prophet,sentiment_mean
2022-03-20,-0.2213680309116014,-0.8793027526412628,0.4423160637067571,AI Safety,Prophet,sentiment_mean
2022-03-27,-0.1385720439867653,-0.8261416533875877,0.5068837183580549,AI Safety,Prophet,sentiment_mean
2022-04-03,-0.059781247040875625,-0.7009714553094769,0.6035785524399213,AI Safety,Prophet,sentiment_mean
2022-04-10,-0.022379545612181757,-0.7011203163062156,0.6910369076955848,AI Safety,Prophet,sentiment_mean
2022-04-17,-0.030505918745958767,-0.721306785497011,0.6484325310250714,AI Safety,Prophet,sentiment_mean
2022-04-24,-0.08614009658957952,-0.7387628311079975,0.548137737432682,AI Safety,Prophet,sentiment_mean
2022-05-01,-0.19212050001206438,-0.8491857734712216,0.49332272500356544,AI Safety,Prophet,sentiment_mean
2022-05-08,-0.3145542444458767,-0.9638830817910291,0.34759944098303,AI Safety,Prophet,sentiment_mean
2022-05-15,-0.3720912872411859,-1.020096425013018,0.2708568070852971,AI Safety,Prophet,sentiment_mean
2022-05-22,-0.29970364823402035,-1.0126604843569922,0.41234507331043674,AI Safety,Prophet,sentiment_mean
2022-05-29,-0.12706526058875622,-0.8475267888164455,0.531610833820449,AI Safety,Prophet,sentiment_mean
2022-06-05,0.034470818496413855,-0.6583869536147267,0.7063005326516247,AI Safety,Prophet,sentiment_mean
2022-06-12,0.1024793839544989,-0.5379394484645509,0.7721786621868646,AI Safety,Prophet,sentiment_mean
2022-06-19,0.10617408496451118,-0.5704694919900236,0.8049435095783644,AI Safety,Prophet,sentiment_mean
2022-06-26,0.13256006460037076,-0.550145494983725,0.7673097375115144,AI Safety,Prophet,sentiment_mean
2022-07-03,0.19496237863748836,-0.4968294415922659,0.8783487821846603,AI Safety,Prophet,sentiment_mean
2022-07-10,0.19580047039871237,-0.5018275715037916,0.8104678870680131,AI Safety,Prophet,sentiment_mean
2022-07-17,0.05240001588686432,-0.6080888894325582,0.7264156573725516,AI Safety,Prophet,sentiment_mean
2022-07-24,-0.1575474743324224,-0.8091570386419071,0.5780648841327172,AI Safety,Prophet,sentiment_mean
2022-07-31,-0.22852828295323163,-0.9478336105838848,0.4821169580529648,AI Safety,Prophet,sentiment_mean
2022-08-07,-0.03760835051183589,-0.7688985207003373,0.6445158649813046,AI Safety,Prophet,sentiment_mean
2022-08-14,0.2955694166519095,-0.40892318530112226,0.9825185233568037,AI Safety,Prophet,sentiment_mean
2022-08-21,0.4997481577047984,-0.22926061563325953,1.196712536970231,AI Safety,Prophet,sentiment_mean
2022-08-28,0.4177266549237774,-0.24387391310250447,1.1230103153254203,AI Safety,Prophet,sentiment_mean
2022-09-04,0.16066980547910392,-0.5339683065598559,0.8419382327535663,AI Safety,Prophet,sentiment_mean
2022-09-11,-0.02067698788866279,-0.7284693783278723,0.6853292955585105,AI Safety,Prophet,sentiment_mean
2022-09-18,-0.0033255668246835457,-0.6696767180781392,0.6775700531352553,AI Safety,Prophet,sentiment_mean
2022-09-25,0.1012521971456815,-0.6231458741691602,0.8257323888040407,AI Safety,Prophet,sentiment_mean
